Local,Prediction,LeaderBoard,Delta,Alpha,Passes,l1,l2,q,full,nn,b,Visits,SEP
0.391864,0.3995174,0.3995174,0.0076534,0.05,10,0,0,0,0,0,22,0,0
0.399145,0.4067984,,,0.005,10,0,0,0,0,0,22,0,0
0.392563,0.4002164,,,0.025,10,0,0,0,0,0,22,0,0
0.391955,0.3996084,,,0.075,10,0,0,0,0,0,22,0,0
0.391885,0.3995384,,,0.062,10,0,0,0,0,0,22,0,0
0.391871,0.3995244,,,0.055,10,0,0,0,0,0,22,0,0
0.391871,0.3995244,,,0.055,15,0,0,0,0,0,22,0,0
0.693147,0.7008004,,,0.55,10,1,0,0,0,0,22,0,0
0.397087,0.4047404,,,0.055,10,0.0000001,0,0,0,0,22,0,0
0.392209,0.3998624,,,0.055,10,0.00000001,0,0,0,0,22,0,0
0.391632,0.3992854,,,0.055,10,0.000000001,0,0,0,0,22,0,0
0.391847,0.3995004,,,0.055,10,1E-10,0,0,0,0,22,0,0
0.391523,0.3991764,,,0.055,10,0.000000005,0,0,0,0,22,0,0
0.391861,0.3995144,,,0.055,10,7.5E-09,0,0,0,0,22,0,0
0.391456,0.3991094,,,0.055,10,2.5E-09,0,0,0,0,22,0,0
0.391519,0.3991724,,,0.055,10,1.75E-09,0,0,0,0,22,0,0
0.391442,0.3990954,,,0.055,10,3.375E-09,0,0,0,0,22,0,0
0.391442,0.3990954,,,0.055,10,3.375E-09,0,0,0,0,22,0,0
0.393572,0.4012254,0.3960121,0.0024401,0.05,10,3.375E-09,0,0,1,0,22,0,0
0.395542,0.4031954,,,0.05,10,3.375E-09,0,0,0,10,22,0,0
0.396142,0.4037954,,,0.05,10,3.375E-09,0,0,0,4,22,0,0
0.398838,0.4064914,,,4.5,10,3.375E-09,0,0,0,4,22,0,0
0.391506,0.3991594,,,0.05,10,3.375E-09,0,0,0,0,26,0,0
0.392543,0.4001964,,,0.05,10,3.375E-09,0,0,0,0,18,0,0
0.398843,0.4064964,,,0.05,1,3.375E-09,0,0,0,0,22,0,1
0.389807,0.3974604,,,0.05,10,3.375E-09,0,0,0,0,22,0,1
0.398887,0.4065404,,,0.05,10,3.375E-09,0,FI,0,0,22,0,1
0.389986,0.3976394,,,0.05,10,3.375E-09,0,KJ,0,0,22,0,1
0.39301,0.4006634,0.3963013,0.0032913,0.05,10,3.375E-09,0,KJ,1,0,22,1,1
0.393352,0.4010054,,,0.05,10,3.375E-09,0,KJ,1,0,22,1,1
0.389815,0.3974684,,,0.05,10,3.375E-09,0.000000001,0,1,0,22,1,1
0.391743,0.3993964,,,,,,0.0000001,0,0,0,22,1,
0.38994,0.3975934,,,,,,0.00000001,0,0,0,22,1,
