Local,Kaggle,Delta,Kaggle full train,Delta,Sub ID,Comment,Batch size,Epochs,Shuffle,Attempt N°,Hour,ALPHA,NFEATURES,REGULARIZATION,START,END,ELAPSED,,
0.418842792,NA,-0.418842792,NA,0,0,basic,1000000,5,TRUE,0,NO,0.0000028,2.00E+23,l1,NA,NA,NA,,TOP 10:
0.420426919,NA,-0.420426919,NA,0,1,basic,1000000,5,TRUE,1,NO,0.0000028,2.00E+23,l1,NA,NA,NA,,155
0.418871841,NA,-0.418871841,NA,0,2,cross site app,1000000,5,TRUE,2,NO,0.0000028,2.00E+23,l1,NA,NA,NA,,43
0.419098522,NA,-0.419098522,NA,0,3,cross site app,1000000,5,TRUE,3,NO,0.0000028,2.00E+23,l1,NA,NA,NA,,22
0.424356587,NA,-0.424356587,NA,0,4,csa+hour,1000000,5,TRUE,4,YES,0.0000028,2.00E+23,l1,NA,NA,NA,,89
0.427411794,0.4351011,0.007689306,NA,0.4351011,5,155;43;22;89;172;227;52;153;125;207,1000000,5,TRUE,5,YES,0.0000028,2.00E+23,l1,NA,NA,NA,,172
0.415412556,0.4220183,0.006605744,NA,0.4220183,6,155,1500000,5,TRUE,6,YES,0.0000028,2.00E+23,l1,NA,NA,NA,,227
0.417459831,NA,-0.417459831,NA,0,7,155,1000000,5,TRUE,7,YES,0.0000028,2.00E+23,l1,NA,NA,NA,,52
0.412338649,NA,NA,0.4162948,0.003956151,8,43,1500000,5,TRUE,8,YES,0.0000028,2.00E+23,l1,NA,NA,NA,,153
NA,NA,NA,0.4162948,0.003956151,9,43,1500000,5,TRUE,9,YES,0.0000028,2.00E+23,l1,NA,NA,NA,,125
0.422788881,NA,NA,NA,NA,NA,22,1500000,5,TRUE,10,YES,0.0000028,2.00E+23,l1,NA,NA,NA,,207
0.411596482,NA,NA,NA,NA,NA,89,1500000,5,TRUE,11,YES,0.0000028,2.00E+23,l1,NA,NA,NA,,
0.415173082,NA,NA,NA,NA,NA,172,1500000,5,TRUE,12,YES,0.0000028,2.00E+23,l1,NA,NA,NA,,89
0.421831203,NA,NA,NA,NA,NA,227,1500000,5,TRUE,13,YES,0.0000028,2.00E+23,l1,NA,NA,NA,,43
0.417366661,NA,NA,NA,NA,NA,52,1500000,5,TRUE,14,YES,0.0000028,2.00E+23,l1,NA,NA,NA,,128
0.420627,NA,NA,NA,NA,NA,153,1500000,5,TRUE,15,YES,0.0000028,2.00E+23,l1,NA,NA,NA,,21
0.427260716,NA,NA,NA,NA,NA,125,1500000,5,TRUE,16,YES,0.0000028,2.00E+23,l1,NA,NA,NA,,49
0.416393161,NA,NA,NA,NA,NA,207,1500000,5,TRUE,17,YES,0.0000028,2.00E+23,l1,NA,NA,NA,,212
0.413518566,NA,NA,NA,NA,NA,49,1500000,5,TRUE,18,YES,0.0000028,2.00E+23,l1,NA,NA,NA,,172
0.417911649,NA,NA,NA,NA,NA,142,1500000,5,TRUE,19,YES,0.0000028,2.00E+23,l1,NA,NA,NA,,
0.413091659,NA,NA,NA,NA,NA,21,1500000,5,TRUE,20,YES,0.0000028,2.00E+23,l1,NA,NA,NA,,
0.417176449,NA,NA,NA,NA,NA,216,1500000,5,TRUE,21,YES,0.0000028,2.00E+23,l1,NA,NA,NA,,
0.427716771,NA,NA,NA,NA,NA,90,1500000,5,TRUE,22,YES,0.0000028,2.00E+23,l1,NA,NA,NA,,
0.417047398,NA,NA,NA,NA,NA,199,1500000,5,TRUE,23,YES,0.0000028,2.00E+23,l1,NA,NA,NA,,
0.417243297,NA,NA,NA,NA,NA,68,1500000,5,TRUE,24,YES,0.0000028,2.00E+23,l1,NA,NA,NA,,
0.422407879,NA,NA,NA,NA,NA,59,1500000,5,TRUE,25,YES,0.0000028,2.00E+23,l1,NA,NA,NA,,
0.432595326,NA,NA,NA,NA,NA,97,1500000,5,TRUE,26,YES,0.0000028,2.00E+23,l1,NA,NA,NA,,
0.445639979,NA,NA,NA,NA,NA,80,1500000,5,TRUE,27,YES,0.0000028,2.00E+23,l1,NA,NA,NA,,
0.413759034,NA,NA,NA,NA,NA,212,1500000,5,TRUE,28,YES,0.0000028,2.00E+23,l1,NA,NA,NA,,
1.315733137,NA,NA,NA,NA,NA,29,1500000,5,TRUE,29,YES,0.0000028,2.00E+23,l1,NA,NA,NA,,
0.412491376,NA,NA,NA,NA,NA,128,1500000,5,TRUE,30,YES,0.0000028,2.00E+23,l1,NA,NA,NA,,
0.415553046,NA,NA,NA,NA,NA,89;128,1500000,5,TRUE,31,YES,0.0000028,2.00E+23,l1,NA,NA,NA,,
0.411824953,NA,NA,NA,NA,NA,89,1500000,5,TRUE,32,YES,0.0000028,2.00E+23,l1,02/02/2015 13:53,02/02/2015 14:05,00:12:19,,
0.415892867,NA,NA,NA,NA,NA,89,1500000,5,TRUE,33,YES,0.0000028,2.00E+23,l1,02/02/2015 14:12,02/02/2015 14:25,00:12:59,,
0.409618934,NA,NA,NA,NA,NA,89,1500000,25,TRUE,34,NO,0.0000028,2.00E+23,l1,02/02/2015 14:32,02/02/2015 14:48,00:15:54,,
0.409501018,NA,NA,NA,NA,NA,89,1500000,10,TRUE,35,NO,0.0000028,2.00E+23,l1,02/02/2015 14:58,02/02/2015 15:11,00:12:27,,
0.423334908,NA,NA,NA,NA,NA,89,1500000,10,FALSE,36,NO,0.0000028,2.00E+23,l1,02/02/2015 15:13,02/02/2015 15:26,00:12:31,,
0.412054401,NA,NA,NA,NA,NA,Basic,1500000,10,TRUE,37,NO,0.0000028,2.00E+23,l1,02/02/2015 15:27,02/02/2015 15:39,00:12:26,,
0.410032838,NA,NA,NA,NA,NA,Basic,1500000,25,TRUE,38,NO,0.0000028,2.00E+23,l1,02/02/2015 15:41,02/02/2015 15:53,00:11:59,,
0.412340382,NA,NA,NA,NA,NA,89,1500000,15,TRUE,39,NO,0.0000028,2.00E+23,l1,02/02/2015 16:02,02/02/2015 16:15,00:13:27,,
0.417574547,NA,NA,NA,NA,NA,89,1500000,7,TRUE,40,NO,0.0000028,2.00E+23,l1,02/02/2015 16:20,02/02/2015 16:32,00:12:10,,
0.429746839,NA,NA,NA,NA,NA,89,1500000,10,TRUE,41,YES,0.0000028,2.00E+23,l1,02/02/2015 16:33,02/02/2015 16:46,00:13:29,,
0.417602566,NA,NA,NA,NA,NA,"89,43",1500000,10,TRUE,42,NO,0.0000028,2.00E+23,l1,02/02/2015 16:50,02/02/2015 17:04,00:13:20,,
0.409682919,NA,NA,NA,NA,NA,89,1500000,10,TRUE,43,NO,0.0000028,2.00E+24,l1,02/02/2015 17:14,02/02/2015 17:28,00:13:57,,
0.406533494,NA,NA,NA,NA,NA,89,1500000,10,TRUE,44,NO,0.000005,2.00E+24,l1,02/02/2015 17:28,02/02/2015 17:41,00:12:36,,
0.461791864,NA,NA,NA,NA,NA,89,1500000,10,TRUE,45,NO,0.1,2.00E+24,l1,02/02/2015 17:41,02/02/2015 17:55,00:13:29,,
0.461796487,NA,NA,NA,NA,NA,89,1500000,10,TRUE,46,NO,0.1,2.00E+20,l1,02/02/2015 17:55,02/02/2015 18:08,00:12:50,,
0.439688664,NA,NA,NA,NA,NA,89,1500000,10,TRUE,47,NO,0.000005,2.00E+20,l1,02/02/2015 18:22,02/02/2015 18:35,00:13:21,,
0.399741413,NA,NA,NA,NA,NA,89,1500000,10,TRUE,48,NO,0.00005,2.00E+24,l1,02/02/2015 18:35,02/02/2015 18:49,00:13:29,,
0.413672003,NA,NA,NA,NA,NA,89,1500000,10,TRUE,49,NO,0.0005,2.00E+24,l1,02/02/2015 18:49,02/02/2015 19:03,00:13:08,,
